step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
79,-2.892392,-0.142109,-2.728188,-1.978277,-1.840272,-1.409840,-2.408710,-1.978277,-0.122390,-1.409840,-2.100148,1.784784,2.284219,0.000000,-0.383699,-0.912323,0.681324,1.784784,-1.715781,0.000000,-1.197840,2.730526,-1.656289
80,-2.932610,-0.232896,-2.874824,-2.267294,-1.605271,-1.335709,-2.536855,-2.267294,-0.141561,-1.335709,-2.040360,1.865219,2.465792,0.000000,-0.205525,-1.006977,0.917179,1.865219,-1.534208,0.000000,-0.775368,2.837295,-2.072554
81,-2.990164,-0.324318,-3.061750,-2.611745,-1.353813,-1.314471,-2.651087,-2.611745,-0.232795,-1.314471,-1.839294,1.980329,2.648637,0.000000,-0.026043,-1.191848,1.185974,1.980329,-1.351363,0.000000,-0.221079,2.792547,-2.527234
82,-3.042442,-0.406496,-3.014256,-2.942418,-1.146663,-1.316432,-2.772649,-2.942418,-0.096312,-1.316432,-2.177917,2.084885,2.812993,0.000000,0.068692,-0.933021,0.934190,2.084885,-1.187007,0.000000,-0.385263,3.008859,-2.339285
83,-3.139197,-0.485622,-3.016218,-3.382343,-0.883066,-1.439854,-2.825555,-3.382343,-0.039618,-1.439854,-2.378964,2.278394,2.971244,0.000000,0.102982,-0.798792,0.740574,2.278394,-1.028756,0.000000,-0.395551,3.138375,-2.113883
84,-3.240032,-0.572327,-2.931382,-3.887391,-0.637956,-1.598083,-2.927263,-3.887391,0.055071,-1.598083,-2.754915,2.480064,3.144654,0.000000,0.108342,-0.507933,0.432348,2.480064,-0.855346,0.000000,-0.707916,3.317908,-1.408429
85,-3.354700,-0.686756,-2.946989,-4.557860,-0.392033,-1.810834,-3.139059,-4.557860,0.089177,-1.810834,-3.044848,2.709400,3.373513,0.000000,0.070606,-0.358197,0.253261,2.709400,-0.626487,0.000000,-0.688314,3.492222,-1.092511
86,-3.451910,-0.775721,-2.859648,-5.138729,-0.228203,-2.035844,-3.331088,-5.138729,0.118540,-2.035844,-3.330186,2.903820,3.551442,0.000000,0.035019,-0.120894,0.074115,2.903820,-0.448558,0.000000,-1.023865,3.572389,-0.139890
87,-3.425767,-0.778549,-2.828815,-5.073548,-0.256284,-1.959353,-3.370479,-5.073548,0.121343,-1.959353,-3.370479,2.851535,3.557097,0.000000,0.020934,-0.064728,0.041804,2.851535,-0.442903,0.000000,-1.148465,3.557097,0.000000
88,-3.302008,-0.732118,-2.384018,-4.572958,-0.436454,-1.644484,-3.364928,-4.572958,0.041266,-1.644484,-3.364928,2.604015,3.464237,0.000000,-0.391700,0.414134,-0.393992,2.604015,-0.535763,0.000000,-1.395985,3.464237,0.000000
89,-3.082827,-0.684712,-1.791570,-3.888267,-0.818113,-1.149421,-3.556960,-3.888267,-0.559559,-1.144383,-3.556960,2.165654,3.369423,0.000000,-1.611647,0.361705,-0.839879,2.196459,-0.493317,0.158341,-1.834346,3.369423,0.000000
90,-2.917121,-0.649454,-0.381916,-3.439310,-1.173009,-0.841493,-3.770826,-3.383475,-1.173009,0.121982,-3.770826,1.395651,3.475062,0.884989,-2.165758,-0.701092,0.000000,0.010776,0.031277,0.032462,-2.165758,3.298908,0.000000
91,-2.760368,-0.624320,-0.213118,-3.094076,-1.555323,-0.596794,-4.052605,-2.934390,-1.555323,0.079921,-4.052605,0.739603,3.417681,1.397343,-2.479265,-0.751359,0.000000,-0.087421,-0.403347,-0.339534,-2.479265,3.248641,0.000000
92,-2.758608,-0.622834,-0.221954,-3.086577,-1.560808,-0.595240,-4.052145,-2.940076,-1.560808,0.082137,-4.052145,0.770486,3.414184,1.339657,-2.482784,-0.754331,0.000000,-0.088582,-0.391948,-0.330745,-2.482784,3.245669,0.000000
93,-2.771931,-0.624424,-0.226122,-3.112130,-1.526711,-0.614435,-4.024406,-2.961520,-1.526711,0.085275,-4.024406,0.787451,3.422864,1.363060,-2.456138,-0.751152,0.000000,-0.086398,-0.376101,-0.322773,-2.456138,3.248848,0.000000
94,-2.772295,-0.624472,-0.225841,-3.112851,-1.525780,-0.614961,-4.023670,-2.961590,-1.525780,0.085234,-4.023670,0.786499,3.423124,1.366016,-2.455409,-0.751055,0.000000,-0.086333,-0.376334,-0.323061,-2.455409,3.248945,0.000000
95,-2.772298,-0.624491,-0.226018,-3.112917,-1.525758,-0.614952,-4.023723,-2.961899,-1.525758,0.085299,-4.023723,0.787146,3.423156,1.364987,-2.455403,-0.751017,0.000000,-0.086324,-0.375992,-0.322793,-2.455403,3.248983,0.000000
96,-2.772300,-0.624482,-0.225927,-3.112890,-1.525761,-0.614961,-4.023690,-2.961744,-1.525761,0.085266,-4.023690,0.786813,3.423142,1.365529,-2.455400,-0.751036,0.000000,-0.086328,-0.376166,-0.322930,-2.455400,3.248964,0.000000
97,-2.772302,-0.624503,-0.226102,-3.112961,-1.525740,-0.614948,-4.023753,-2.962057,-1.525740,0.085331,-4.023753,0.787453,3.423178,1.364507,-2.455396,-0.750994,0.000000,-0.086318,-0.375824,-0.322662,-2.455396,3.249006,0.000000
98,-2.772304,-0.624494,-0.226011,-3.112934,-1.525743,-0.614957,-4.023720,-2.961904,-1.525743,0.085298,-4.023720,0.787122,3.423164,1.365046,-2.455393,-0.751012,0.000000,-0.086322,-0.375996,-0.322798,-2.455393,3.248988,0.000000
99,-2.772306,-0.624515,-0.226186,-3.113006,-1.525722,-0.614945,-4.023783,-2.962215,-1.525722,0.085363,-4.023783,0.787760,3.423200,1.364030,-2.455388,-0.750970,0.000000,-0.086312,-0.375656,-0.322530,-2.455388,3.249030,0.000000
100,-2.772307,-0.624506,-0.226095,-3.112979,-1.525725,-0.614954,-4.023750,-2.962062,-1.525725,0.085330,-4.023750,0.787429,3.423186,1.364568,-2.455386,-0.750988,0.000000,-0.086316,-0.375828,-0.322666,-2.455386,3.249012,0.000000
101,-2.772308,-0.624524,-0.226274,-3.113038,-1.525709,-0.614942,-4.023806,-2.962368,-1.525709,0.085395,-4.023806,0.788082,3.423215,1.363519,-2.455384,-0.750952,0.000000,-0.086307,-0.375486,-0.322397,-2.455384,3.249048,0.000000
102,-2.772310,-0.624515,-0.226184,-3.113011,-1.525713,-0.614951,-4.023773,-2.962215,-1.525713,0.085362,-4.023773,0.787752,3.423201,1.364055,-2.455381,-0.750970,0.000000,-0.086312,-0.375658,-0.322533,-2.455381,3.249030,0.000000
