step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
63,-2.973903,-0.137072,-2.344079,-2.118919,-1.675020,-1.570633,-2.223306,-2.118919,-0.006527,-1.570633,-2.223306,1.947806,2.274143,0.000000,-0.655217,-0.294614,-0.263103,1.947806,-1.725857,0.000000,-2.052194,2.274143,0.000000
64,-2.973443,-0.176428,-2.340251,-2.209073,-1.609591,-1.503363,-2.315301,-2.209073,0.001978,-1.503363,-2.315301,1.946886,2.352855,0.000000,-0.661627,-0.210565,-0.328741,1.946886,-1.647145,0.000000,-2.053114,2.352855,0.000000
65,-2.978042,-0.211429,-2.334425,-2.301628,-1.543741,-1.455911,-2.389458,-2.301628,0.008941,-1.455911,-2.389458,1.956085,2.422858,0.000000,-0.660821,-0.132479,-0.385717,1.956085,-1.577142,0.000000,-2.043915,2.422858,0.000000
66,-2.987063,-0.275168,-2.311577,-2.477848,-1.428922,-1.377175,-2.529595,-2.477848,0.008035,-1.377175,-2.529595,1.974126,2.550336,0.000000,-0.676145,0.026220,-0.516651,1.974126,-1.449664,0.000000,-2.025874,2.550336,0.000000
67,-3.023354,-0.344827,-2.253081,-2.733313,-1.260590,-1.354004,-2.639899,-2.733313,-0.011902,-1.354004,-2.639899,2.046707,2.689655,0.000000,-0.692157,0.241923,-0.689756,2.046707,-1.310345,0.000000,-1.953293,2.689655,0.000000
68,-3.072565,-0.457959,-2.169464,-3.153541,-1.031444,-1.321704,-2.863281,-3.153541,-0.089902,-1.321704,-2.863281,2.145130,2.915919,0.000000,-0.766738,0.510994,-0.889516,2.145130,-1.084081,0.000000,-1.854870,2.915919,0.000000
69,-3.149696,-0.600459,-2.060190,-3.760771,-0.760149,-1.358934,-3.161986,-3.760771,-0.194101,-1.358934,-3.161986,2.299393,3.200919,0.000000,-0.993271,0.528975,-0.846641,2.299393,-0.799081,0.000000,-1.700607,3.200919,0.000000
70,-3.227725,-0.754921,-2.028930,-4.464557,-0.533973,-1.444872,-3.553658,-4.464557,-0.218843,-1.444872,-3.553658,2.455450,3.509843,0.000000,-1.047995,0.516794,-0.655949,2.455450,-0.490157,0.000000,-1.544550,3.509843,0.000000
71,-3.298060,-0.935690,-2.054972,-5.309356,-0.374356,-1.566595,-4.117117,-5.309356,-0.227164,-1.566595,-4.117117,2.596119,3.871381,0.000000,-1.046713,0.550497,-0.453729,2.596119,-0.128619,0.000000,-1.403881,3.871381,0.000000
72,-3.347188,-1.097849,-2.126185,-6.093388,-0.313237,-1.701991,-4.704634,-6.093388,-0.245080,-1.701991,-4.704634,2.694377,4.195698,0.000000,-1.030307,0.639367,-0.316572,2.694377,0.195698,0.000000,-1.305623,4.195698,0.000000
73,-3.380492,-1.241508,-2.199606,-6.807618,-0.319617,-1.841584,-5.285650,-6.807618,-0.291027,-1.841584,-5.285650,2.760984,4.483017,0.000000,-1.040129,0.756478,-0.217445,2.760984,0.483017,0.000000,-1.239016,4.483017,0.000000
74,-3.407662,-1.355823,-2.273709,-7.408915,-0.354974,-1.985623,-5.778266,-7.408915,-0.342572,-1.985623,-5.778266,2.815324,4.711646,0.000000,-1.041062,0.881146,-0.151503,2.815324,0.711646,0.000000,-1.184676,4.711646,0.000000
75,-3.454567,-1.470699,-2.413913,-8.097618,-0.396555,-2.214823,-6.279350,-8.097618,-0.387664,-2.214823,-6.279350,2.909134,4.941398,0.000000,-0.952231,1.064887,-0.132610,2.909134,0.941398,0.000000,-1.090866,4.941398,0.000000
76,-3.507559,-1.574253,-2.538588,-8.777010,-0.449765,-2.479999,-6.746776,-8.777010,-0.443324,-2.479999,-6.746776,3.015117,5.148506,0.000000,-0.854939,1.237980,-0.118682,3.015117,1.148506,0.000000,-0.984883,5.148506,0.000000
77,-3.616816,-1.680205,-2.604652,-9.675091,-0.487009,-2.954272,-7.207828,-9.675091,-0.487009,-2.954272,-7.207828,3.233631,5.360410,0.000000,-0.766369,1.360410,0.000000,3.233631,1.360410,0.000000,-0.766369,5.360410,0.000000
78,-3.766730,-1.790337,-2.751136,-10.784816,-0.556547,-3.623468,-7.717895,-10.784816,-0.556547,-3.623468,-7.717895,3.533461,5.580674,0.000000,-0.466539,1.580674,0.000000,3.533461,1.580674,0.000000,-0.466539,5.580674,0.000000
79,-3.954318,-1.882885,-2.831887,-12.007882,-0.659072,-4.476343,-8.190611,-12.007882,-0.659072,-4.476343,-8.190611,3.908635,5.765770,0.000000,-0.091365,1.765770,0.000000,3.908635,1.765770,0.000000,-0.091365,5.765770,0.000000
80,-4.136950,-1.946766,-2.884568,-13.127488,-0.792622,-5.340423,-8.579686,-13.127488,-0.792622,-5.340423,-8.579686,4.273901,5.893532,0.000000,0.273901,1.893532,0.000000,4.273901,1.893532,0.000000,0.273901,5.893532,0.000000
81,-4.283922,-1.982245,-2.951579,-13.987582,-0.922916,-6.058602,-8.851896,-13.987582,-0.922916,-6.058602,-8.851896,4.567843,5.964490,0.000000,0.567843,1.964490,0.000000,4.567843,1.964490,0.000000,0.567843,5.964490,0.000000
82,-4.429371,-2.012997,-3.000903,-14.857494,-1.088022,-6.805506,-9.140010,-14.857494,-1.088022,-6.805506,-9.140010,4.858742,6.025994,0.000000,0.858742,2.025994,0.000000,4.858742,2.025994,0.000000,0.858742,6.025994,0.000000
